restaurant,cuisine_type,location,price_level,rating,review_count
Gen,"Asian,Contemporary,Diner","Unit 6, 8 Gat Lebuh Gereja, George Town, Penang Island 10300 Malaysia",3,4.5,17
hameediya nasi kandar,"Indian,Asian,Malaysian","Campbell Street, Penang Island Malaysia",1,4,43
Paul Loiis,"Italian,Cafe,Asian","18 Lebuh King, George Town, Penang Island 10200 Malaysia",2,4,32
Kuih Culture,"Chinese,Cafe,Seafood","59A, Lebuh Kimberley, Penang Island 11100 Malaysia",2,4,38
Nyonya Breeze Desire,"Asian,Malaysian","3A-1-7, Straits Quay Jalan Seri Tanjung Pinang Tanjung Tokong,, Penang Island 10470 Malaysia",2,4,28
Penang Club,Vegetarian Friendly,"Penang Club Penang Club 42B Jalan Sultan Ahmad Shah, Penang Island 10050 Malaysia",2,4.5,28
Hudson's Deli,"International,European,Deli","Hudson's Deli 103 Jalan Chan Siew Teong, Tanjung Bungah, Penang Island 11200 Malaysia",2,5,14
Chatto - Handcrafted Tea Bar Georgetown,"Chinese,Japanese,Cafe","143, Lebuh Carnarvon, Georgetown, 10100, Penang Located in Georgetown's Heritage Core Zone, George Town, Penang Island 10100 Malaysia",1,4.5,17
The Wine Shops (Penang),Wine Bar,"11A & 15, Lintang Burmah, Penang Island 10250 Malaysia",2,4,37
Santorini Cafe,"Chinese,American,Cafe","94 Jalan Burma, George Town, Penang Island 10050 Malaysia",1,4.5,20
Chin's,"Chinese,Asian,Malaysian","Church Street Pier George Town, Penang Island Malaysia",3,4.5,33
Heap Seng at 29,"Seafood,British","Number 29, China Street, George Town, Penang Island 10300 Malaysia",2,4.5,14
The Table Penang,"Southwestern,Cafe,Asian","The Table Penang No 27 Carnarvon Street, Penang Island 10100 Malaysia",2,4.5,23
The Line Sandwich Cafe,"Italian,Southwestern,Cafe","239 Jalan Magazine, George Town, Penang Island 10300 Malaysia",2,4.5,14
Pho Viet,"Asian,Vietnamese,Soups","496 Lebuh Pantai Crossing with Beach Street, George Town, Penang Island 10300 Malaysia",1,4,36
Diable Pasta,"Italian,European,Asian","No.4 Kampung Malabar, George Town, Penang Island 10100 Malaysia",2,5,12
Wenchang Hainan Chicken Rice,"Chinese,Malaysian","No. 63 Lebuh Cintra, George Town, George Town, Penang Island 10200 Malaysia",1,4,44
The Haven Harbour,"Southwestern,Cafe,International","102-K-1, New World Jalan Burma, George Town, Penang Island 10050 Malaysia",2,4,36
Salad Bowl Cafe,"Italian,Chinese,Cafe","79, 56, Jalan Masjid Kapitan Keling George Town, Penang Island 10450 Malaysia",1,4.5,36
Bridge Street Hokkien Mee,"Chinese,Asian","Bridge Street Hokkien Mee 533 Beach Street George Town, Penang Island 10300 Malaysia",1,4.5,15
An Viet,"Asian,Vietnamese,Vegetarian Friendly","An Viet 170 Persiaran Gurney Gurney Plaza, Penang Island 10250 Malaysia",2,4,40
Hainanese Delights,"Asian,Malaysian","1926 Heritage Hotel, George Town, Penang Island Malaysia",2,4,32
Danish Briyani House,"Indian,Middle Eastern,Pakistani","273-B Lebuh Chulia, George Town, Penang Island 10200 Malaysia",2,3.5,108
Beans Heritage,"Asian,Malaysian","Lebuh Carnavon, George Town, Penang Island Malaysia",2,4,52
Kafka Coffee,"Cafe,Asian,Malaysian","15 Jalan Kelawai, George Town, Penang Island 10250 Malaysia",2,4,26
Sushi Zento,"Japanese,Sushi,Asian","Sushi Zento Jalan Tanjong Tokong, Penang Island 10470 Malaysia",2,4,53
Aik Hoe Restaurant,"Chinese,Asian","No.6 & 8 Lebuh Carnavon Georgetown 10100 Penang, Penang Island Malaysia",1,4,32
Coffee Island,"Chinese,International,Asian","77 Persiaran Gurney, George Town, Penang Island 11250 Malaysia",2,4,35
d'Tandoor Restaurant Penang,"Indian,Vegetarian Friendly,Halal","10-C-22, Precinct 10 Jalan Tanjong Tokong, Tanjung Tokong, Penang Island 10470 Malaysia",2,4,49
Dandy Modern Food (Arena Curve),"Pizza,International,Mediterranean","72-1-17, Jalan Mahsuri Arena Curve, Bayan Lepas, Penang Island 11950 Malaysia",2,4,35
Janxden Green Life Cafe,"Asian,Vegetarian Friendly,Vegan Options","50, Jalan Chow Thye Road Behind northam towers, George Town, Penang Island 10050 Malaysia",2,4,36
Javu,"Cafe,Fusion,Vegan Options","26, Lebuh Lembah Permai 4, Tanjung Bungah, Penang Island 11200 Malaysia",2,4.5,20
Dim Sum Food Restaurant,"Chinese,Asian","10400 63 Macalister Road, George Town, Penang Island 11300 Malaysia",1,4,30
23 lovelane,French,"23lovelane, George Town, Penang Island Malaysia",2,4.5,23
Idealite Wholesome Dining Restaurant,"Asian,Healthy,Malaysian","Lebuh Tunku Kudin 2 Lot 1-01-05, Ground Floor, E-Gate, Penang Island 11700 Malaysia",2,4,38
Lunarich,"Italian,Pizza,European","LOT 2.33, LEVEL 2 GURNEY PARAGON MALL, George Town, Penang Island 10250 Malaysia",2,4,39
Nan Guang Penang Laksa @ Balik Pulau,"Chinese,Asian,Nonya/Malaysian","67 Jalan Balik Pulau Nan Guang Coffe Shop, George Town, Penang Island 11000 Malaysia",1,4,24
Chinese Recreation Club Restaurant,"Chinese,Asian,Cantonese","Jalan Padang Victoria, George Town, Penang Island 10400 Malaysia",2,4,34
Kim's Korean Food,"Barbecue,Asian,Korean","Kim's Korean Food Kim's Korean Food 2 Jalan Tavoy, Penang Island 10050 Malaysia",2,4.5,22
Original Penang Kayu Nasi Kandar,"Indian,Asian,Malaysian","15, Lebuh Nipah, 11900 Bayan Lepas, Pulau Pinang, Malaysia, Penang Island Malaysia",2,3.5,21
Chili Head Social Bar & Eatery,"Asian,Thai","3A-G-11 & 12, Straits Quay, Jalan Seri Tanjung Pinang Seri Tanjung Pinang Tanjung Tokong, Tanjung Tokong, Penang Island 10470 Malaysia",2,4,42
Restoran Khun Thai,"Seafood,Asian,Thai","1052 Mk 9 Teluk Kumbar, Bayan Lepas, Penang Island 11920 Malaysia",2,3.5,59
Jade Palace Seafood Restaurant,"Chinese,Seafood,Asian","3rd Floor No. 41 Lorong Abu Siti, George Town, Penang Island 10400 Malaysia",2,4,26
D'Chef,Vegetarian Friendly,"Lebuh Presgrave, George Town, Penang Island 10300 Malaysia",3,4,28
Ah Leng Char Koay Teow,"Asian,Malaysian","Lorong Zoo 6 Ayer Itam, George Town, Penang Island 11500 Malaysia",1,4.5,12
Chai Diam Ma,"Cafe,Vegan Options","15 Lebuh Queen 10200 George Town, Penag, George Town, Penang Island 10200 Malaysia",2,4,23
Nana Tomyam,"Thai,Malaysian,Vegetarian Friendly","6 A Jalan Transfer, George Town, Penang Island 10050 Malaysia",,4,17
Baba Phang,"Asian,Malaysian","17 Jalan Sri Baharu, George Town, Penang Island Malaysia",2,4.5,17
Hong Xiang Bak Kut Teh,"Chinese,Malaysian","88, Jalan Macalister, Penang Island Malaysia",2,3.5,46
Swatow Lane Ice Kacang,"Chinese,Asian,Malaysian","102-E-1Burma Road New World Park, George Town, Penang Island 10050 Malaysia",1,4.5,19
Flower Mulan Nyonya Cafe,"Asian,Malaysian","268 Jalan Burmah Pulau Tikus, George Town, Penang Island 10350 Malaysia",2,4.5,13
Xiang Peng Peng Salted Chicken,"Asian,Healthy,Soups","208B Macalister Road Same row with Happy Mart, Near Red Rock Hotel and Travelodge Hotel, George Town, Penang Island 10400 Malaysia",1,4.5,18
Dragon-I,"Chinese,Asian,Shanghai","100, Persiaran Bayan Indah Queensbay Mall, Bayan Lepas, Penang Island 11900 Malaysia",2,3.5,50
4Fingers,,"163-D Persiaran Gurney Gurney Paragon Mall, 163D-1-06, Penang Island 10250 Malaysia",2,4.5,12
Nurul Ikan Bakar,"Seafood,Asian,Malaysian","Jalan Tun Dr Ismail Bayan Lepas Industrial Park 4, Bayan Lepas, Penang Island 11900 Malaysia",2,4,24
Kedai Kopi Sin Hwa,"Asian,Malaysian","329 Jalan Burmah, George Town, Penang Island Malaysia",1,4,30
The Eatery,"International,Asian,Malaysian","505 Jalan Tanjung Bungah Located Inside the Four Points by Sheraton Hotel, Tanjung Bungah, Penang Island 11200 Malaysia",2,4,42
La Vie en Rose Patisserie,"Dessert,French,Cafe","19 Lebuh Melayu, George Town, Penang Island 10100 Malaysia",2,4.5,17
Olivia?€?s Pasta & Pizza,"Italian,Pizza,Spanish","17A Lebuhraya Batu Lanchang, George Town, Penang Island 11600 Malaysia",2,5,11
My Voice Cafe,"Japanese,Asian","C-5-1, Lorong Bayan Indah 3, Bay Avenue, Bayan Lepas, Penang, George Town, Penang Island 11900 Malaysia",2,4,36
Bee Hooi Restaurant,"Asian,Malaysian","Bee Hooi Restaurant Jalan Burma Pulau Tikus, Penang Island 10350 Malaysia",1,4,32
Passion of Kerala,"Indian,Asian,Malaysian","Gelugor, George Town, Penang Island Malaysia",2,4,59
QEII The Waterfront Venue,"Italian,Bar,Pizza","8A Pengkalan Weld, George Town, Penang Island Malaysia",2,4,52
Dragon-i - Gurney Plaza,"Chinese,Asian,Shanghai","George Town, Penang Island Malaysia",2,3.5,70
Kedai Kopi New Cathay,"Chinese,Asian,Malaysian","425 Jalan Burma, George Town, Penang Island 10350 Malaysia",1,4,20
Fuku Eatery,Contemporary,"Lebuh Pantai 103, George Town, Penang Island Malaysia",2,4.5,11
Enoshima Japanese Restaurant,"Japanese,Sushi,Asian","Cititel Express Penang, 123 Lebuh Noordin, Komtar, George Town, Penang Island 10300 Malaysia",2,4,20
Gooday Restaurant,"Chinese,Asian,Malaysian","2-J Jalan Lembah Permai Tanjong Bungah, Penang Island 11200 Malaysia",2,4.5,17
Pinang Restaurant & Bar,"Bar,International","Jalan Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",2,3.5,59
O.M.G Restaurant Penang,"Italian,Fusion,Malaysian","30, Jalan Servis, Georgetown, Penang Island 10050 Malaysia",1,5,9
Roti Canai,"Asian,Malaysian,Vegan Options","Jalan Argyll, George Town, Penang Island 10050 Malaysia",1,4,27
Happy Garden Restaurant Batu Ferringhi Penang,Chinese,"Happy Garden Restaurant Batu ferringhi.penang 206 B Batu Ferringhi, Penang Island 11100 Malaysia",,4.5,13
Something Else,"Bar,Pub","72a-G Persiaran Mahsuri 2, Bayan Lepas, Penang Island 11950 Malaysia",2,4.5,13
More by Arang Coffee,"Cafe,Vegetarian Friendly,Vegan Options","170-G Argyll Road Livingston Tower, George Town, Penang Island 10050 Malaysia",2,4,20
AL-Baiek,"Barbecue,Middle Eastern,Pakistani","Jalan Batu Ferringi Infront Of Hard Rock Hotel, Batu Ferringhi, Penang Island 11100 Malaysia",,4,17
Annalakshmi Temple of Fine Arts,"Indian,Asian,Vegetarian Friendly","1 Lebuhraya Babington, George Town, Penang Island 10450 Malaysia",1,4.5,17
Ali Nasi Lemak,"Quick Bites,Asian,Malaysian","Beach Street Medan Makan Sri Weld, George Town, Penang Island 10300 Malaysia",1,4,33
Hans Cafe and Deli,Cafe,"Jalan Seri Tanjung Pinang Tesco, Tanjung Tokong, Penang Island 10470 Malaysia",2,4.5,12
Zealand Seafood Restaurant,"Chinese,Asian,Malaysian","62 Persiaran Gurney, George Town, Penang Island 10250 Malaysia",2,4.5,15
Leilomei by Manchu,"Chinese,Bar,Cafe","38 & 40, Jalan Pintal Tali,, George Town, Penang Island 10100 Malaysia",2,5,7
Maroush,"Indian,Middle Eastern,Arabic","Lot 396 11100 Batu Ferringhi Road Lot 396 Batu Ferringhi, Penang Island 11100 Malaysia",2,3.5,45
Ayu Mee Udang,,,2,4,15
Pang Hainan Seafood,"Chinese,Seafood,Asian","12 Jalan Tanjong Bungah, Penang Island Malaysia",2,3.5,63
Ajid Cafe,"Cafe,Asian,Malaysian","Jalan Tanjung Bungah Palau Pinang, MY, Batu Ferringhi, Penang Island 11100 Malaysia",,5,9
Abu,"Indian,Asian,Malaysian","Jalan Datuk Koyah, George Town, Penang Island Malaysia",1,4,15
Nonya Breeze,"Asian,Nonya/Malaysian,Malaysian","Straits Quay West, Penang Island Malaysia",2,4,21
Tokma Malay Kitchen,,"6 Jalan Tanjong Tokong, George Town, Penang Island 10470 Malaysia",1,5,7
IPPUDO Gurney Plaza,"Japanese,Asian","170-G-37, Ground Floor, Gurney Plaza Gurney Plaza Penang, George Town, Penang Island 10250 Malaysia",2,4,25
Middle of Nowhere,"Malaysian,Asian","202-B Jalan Sungai Pinang, Penang Island 11010 Malaysia",,4.5,11
Lao Hakka Restaurant,Chinese,"562 Jalan Tanjung Bungah, George Town, Penang Island 11200 Malaysia",2,4,13
ET Steamboat Restaurant,Chinese,"Jalan Rangoon, George Town, Penang Island Malaysia",2,4.5,9
Fruit of Lebanon,"Lebanese,Mediterranean,Middle Eastern","109-A Jalan, Batu Ferringhi, Penang Island 11100 Malaysia",2,3.5,57
Sushi Kitchen,"Japanese,Sushi,Asian","2A-1, Jln.sg.Ara,Desa Ara,Sg.Ara, George Town, Penang Island 11900 Malaysia",2,4.5,14
Kim Gary Restaurant,"Asian,Malaysian,Vegetarian Friendly","170-03-60A / 61 / 63A / 65 / 66, Plaza Gurney, Persiaran Gurney, Penang Island 10250 Malaysia",2,4,22
Botanica Mansion,,"156 Jalan Sungai Bandar Baru Air Putih, Balik Pulau, Penang Island 11000 Malaysia",2,4,17
Club J,"Japanese,European,Fusion","344 Lorong Leandros, George Town, Penang Island 10250 Malaysia",2,4.5,10
Wooden House Cafe,"American,Cafe,Asian","No.1, Chew Jetty Weld Quay, Penang Island 10300 Malaysia",1,4.5,9
Lorong Selamat Food Stalls,"Asian,Malaysian","off Jln Burma Chinatown, George Town, Penang Island Malaysia",1,3.5,153
Daily Fish Restaurant,"Chinese,Seafood,Asian","Daily Fish Restaurant Daily Fish Restaurant Daily Fish Restaurant 288e-1-13 Jalan Thean Teik Fortune Court, Ayer Itam, Penang Island 11500 Malaysia",2,4.5,14
Sushi Kappo Miyasaka,"Japanese,Sushi","397 Jalan Burma, George Town, Penang Island 10350 Malaysia",2,4.5,12
Nyonya Willow,"Chinese,Asian,Malaysian","45 Lorong Sungai Tiram 4 Taman Tunas Damai, Bayan Lepas, Penang Island 11900 Malaysia",2,4,22
Cafe Laurel,"Asian,Vegetarian Friendly,Halal","53 Persiaran Gurney Evergreen Laurel Hotel Penang, George Town, Penang Island 10250 Malaysia",2,4,29
Wang Thai,"Asian,Thai","294, Jalan Burma Pulau Tikus, George Town, Penang Island 10350 Malaysia",2,3.5,39
Umi Japanese Restaurant,"Japanese,Sushi","28 Jalan Teluk Kumbar Lexis Suites Penang, Bayan Lepas, Penang Island 11920 Malaysia",2,4.5,13
The Mangoes Cafe,"Fusion,Cafe","496 Lebuh Pantai End of Beach Street, Close to Komtar/ 1st Avenue Junction, George Town, Penang Island 10300 Malaysia",,4.5,17
Alley Catz Cafe,"Italian,Cafe,Fast food","133, Jalan Masjid Kapitan Keling George Town, Penang Island 10400 Malaysia",2,5,9
Escobar Wine & Deli,"Bar,Deli,Grill","138 Jalan Pintal Tali Ropewalk Piazza, George Town, Penang Island 10100 Malaysia",2,4,18
Plan b,Cafe,"Persiaran Gurney Gurney Paragon, George Town, Penang Island 10250 Malaysia",2,4,14
Shusi Banana Leaf Restaurant,"Indian,Asian,Malaysian","71A Penang Street, George Town, Penang Island 10200 Malaysia",1,3.5,26
London Duck Gurney Plaza,"Chinese,Asian,Cantonese","Gurney Plaza 170-03-86 Persiaran Gurney, Penang Island 10250 Malaysia",2,4,12
Indian Palace,"Indian,Asian,Vegetarian Friendly","No 79-G-18 Penang Time Square Jalan Dato Kerama, George Town, Penang Island 11950 Malaysia",2,4,45
JiangHu Edo Penang,Fusion,"69, Jalan Magazine, Penang Island 10100 Malaysia",2,4.5,8
Noordin Nyonya Delights,"Chinese,Fast food,Asian","138c Lebuh Noordin, George Town, Penang Island 10300 Malaysia",1,5,6
Stardust,Cafe,"370D Lebuh Chulia Chinatown, George Town, Penang Island Malaysia",1,4,26
Charlie's Burgers,Fast food,"11100 Batu Feringgi, Batu Ferringhi, Penang Island Malaysia",1,4.5,14
Banh Mi Kitchen,"Cafe,Fast food,Asian","86, Jalan Zainal Abidin 10400 Pulau Pinang Behind UMNO Building, George Town, Penang Island 10400 Malaysia",1,5,5
Siang Pin,"Chinese,Seafood,Asian","No. 598 Gf Jalan Tanjung Bunga, Penang Island 11200 Malaysia",2,4,26
Brix and BAUME,International,"124 Jalan Burma, George Town, Penang Island Malaysia",2,5,8
Jit Seng Hong Kong Roast Duck Rice,"Chinese,Asian","Star Hotel 246, Lebuh Carnarvon, George Town, Penang Island 10100 Malaysia",1,4,29
Fisherman's Wharf Food Corner Penang,"Chinese,Japanese,Indian","No 92A Lebuh Sungai Pinang 1, George Town, Penang Island 11600 Malaysia",1,3.5,26
Chu Char 1st,"Asian,Malaysian,Chinese","15, Lebuh King, 10200 Georgetown Penang, Malaysia, George Town, Penang Island 10200 Malaysia",,5,4
Kannaa's Bamboo Masala Beriyani Penang,Indian,"72, Lebuh China,, George Town, Penang Island 10020 Malaysia",1,4.5,9
Texas Chicken,"Quick Bites,American,Fast food","182 Jalan Magazine First Avenue Mall, George Town, Penang Island 10300 Malaysia",2,4,20
Blue Chang MODERN THAI CUISINE,"Asian,Thai","417, Jalan Burma Behind CIMB & Hong Leong Bank Pulau Tikus, Penang Island 10350 Malaysia",2,4,12
Mr.Pot,"Bar,Cafe,Pub","124c Gurney Drive, George Town, Penang Island Malaysia",2,4,23
Waterworld Seafood Restaurant,"Seafood,Malaysian,Chinese","72 Jalan Batu Ferringhi I Love You Cafe, Penang Island 11100 Malaysia",,4.5,11
Goodall Cafe,"Chinese,Asian,Malaysian","Jalan Gottlieb, George Town, Penang Island 10350 Malaysia",1,3.5,26
See Kong Ooi Restaurant,"Chinese,Asian,Malaysian","7 & 9 Jalan Transfer, George Town, Penang Island 10050 Malaysia",2,4,29
The Ship Batu Ferringi,"Steakhouse,Asian","69-B Jalan Batu Ferringhi 11100, Batu Ferringhi, Penang Island 11100 Malaysia",2,3,576
The Nook Books and Coffee,"Asian,Malaysian","4 Halaman Khoo Cheow Teong, George Town, Penang Island 10100 Malaysia",1,4.5,9
Hassan Briyani House,"Indian,Middle Eastern,Pakistani","198,Jalan Transfer, Penang Island 10050 Malaysia",1,5,6
Curry & Co,"Indian,Asian,Malaysian","11 Jalan Ismail Nagore, Penang Island 10050 Malaysia",2,4,13
Pulau Tikus Hawker Centre,,"Jalan Burma Pulau Tikus, George Town, Penang Island 10350 Malaysia",1,4,11
C&J Alabama Shake,American,"90 Church Street, George Town, Penang Island 10200 Malaysia",2,4.5,10
Cintra Street Fish and Chicken Porridge,,"Lebuh Cintra, George Town, Penang Island 10450 Malaysia",1,5,5
"Khun De Thai Restaurant, Gurney Drive","Asian,Thai","75 Gurney Drive at entrance to Gurney View Hotel, Penang Island 10250 Malaysia",2,4,16
Victoria Green Corner,"Chinese,Asian,Malaysian","43 Jalan Padang Victoria, George Town, Penang Island 10400 Malaysia",2,4.5,8
Cho Dong Jib,"Asian,Korean","163-D Persiaran Gurney Gurney Paragon Mall Lot No. L1.05, George Town, Penang Island 10250 Malaysia",2,4,11
Maxim Dim Sum,"Chinese,Asian,Cantonese","Bangunan Lip Sin 2-G-11 & 12 Lebuh Pekaka 1, Sungai Dua, Gelugor, Penang Island 11700 Malaysia",2,4,17
Golden Gate Steamboat,Seafood,"No. 77 Jalan Cantonment, George Town, Penang Island 10250 Malaysia",2,4,16
Roti Canai Gemas Road,"Asian,Street Food,Malaysian,Indian","29 Gemas Road Taman Kampar, Penang Island 10460 Malaysia",,4.5,7
Village Fish Head Bee Hoon,"Seafood,Diner,Central Asian,Chinese","107A, Pengkalan Weld, George Town, Penang Island 10300 Malaysia",,4.5,8
Yuraku Tei Japanese Cuisine,"Japanese,Japanese sweets parlour,Japanese Fusion","Vantage B-3-3A Jalan Desiran Tanjung, Tanjung Tokong, Penang Island 10470 Malaysia",2,5,5
Kampar Fish Jelly Restaurant,"Chinese,Asian","66 7 68 Jalan Aziz Ibrahim 11900 Bayan Lepas, Penang Island Malaysia",2,4,10
Campur,"French,Chinese,Asian","16 Jalan Armenian, George Town, Penang Island 10300 Malaysia",2,4.5,8
Aunty Anne True Penang Cuisine,Nonya/Malaysian,"67 Macalister Lane, George Town, Penang Island Malaysia",1,4.5,10
Annabelle's  place,"Cafe,British","10 Lebuh Lembah Permai 4, Tanjung Bungah, Penang Island 11200 Malaysia",2,4,13
Viapre Penang,Italian,"20E Lebuh Penang, Penang Island 10200 Malaysia",,5,6
Sushi Kitchen Farlim,Italian,,,,0
Loaf U,"Asian,Korean,Malaysian","22 Lebuh Melayu, Penang Island 10100 Malaysia",1,4.5,7
BeAngels Specialty Coffee,,,1,,0
Beangels Coffee Esplanade,"Italian,Chinese,Southwestern","Jalan Padang Kota Lama Pusat Bayaran Setempat, Penang Island 10200 Malaysia",1,4.5,6
AB Cafe,,,1,,0
Java Tree,"European,Asian","10, Lebuh Farquhar Eastern & Oriental Hotel, George Town, Penang Island 10200 Malaysia",2,5,5
Coconut Man,"Healthy,Street Food","48 Armeniam Street, George Town, Penang Island 10200 Malaysia",1,4.5,7
Habanero Mexican Dining,Mexican,"3F-22D Queensbay Mall 100 Persiaran Bayan Indah, 11900, Bayan Lepas, Penang Island Malaysia",2,4,17
The Chambers Restaurant,,"No. 2 Penang Street 2nd Floor, George Town, Penang Island 10200 Malaysia",2,4,17
Pitt Street Koay Teow Th'ng (Eel Fish Ball Noodle),"Chinese,Asian","Carnarvon Street, George Town, Penang Island Malaysia",1,4.5,7
Little Oasis,"International,Asian,Malaysian","33-03-35, Prangin Mall, George Town, Penang Island Malaysia",2,4,12
Peppersalt Restaurant,American,"No 27 & 29 Lorong Amoy, George Town, Penang Island 10050 Malaysia",,4.5,7
Muse Dining Bar by R.Emuang,American,,,,0
Kitchen Chemistry,"Italian,American,Asian","8 Solok Kampung Jawa, Penang Island 11900 Malaysia",2,4.5,8
Teluk Kumbar Seafood Restaurant,"Seafood,Asian,Malaysian","84 MK9 Teluk Kumbar, Bayan Lepas, Penang Island 11920 Malaysia",2,4,14
Adnan Bin Hassan,Seafood,"Jalan Teluk Tempoyak Kampung Teluk Tempoyak Besar, Bayan Lepas, Penang Island Malaysia",2,4.5,7
Restoran Mohammed Raffee Nasi Kandar,,,2,,0
Fatty loh chicken rice,"Chinese,Malaysian","Jalan Fettes, Tanjung Tokong, Penang Island Malaysia",2,3.5,65
K-POT,"Asian,Korean","98-G-33 prima Jalan Tanjung Tokong, Penang Island 11200 Malaysia",2,4,15
nadaba,"Bar,Pizza,International","1 Jalan Bukit Jambul Hotel Equatorial Penang, Bayan Lepas, Penang Island 11900 Malaysia",2,4,9
Kim's Korean Food Buffet,"Asian,Korean","72-1-59, 58, 57, Arena Curve Jalan Persiaran Mahsuri, Bayan Lepas, Penang Island 11950 Malaysia",2,4.5,7
Hao You Seafood,"Seafood,Asian,Malaysian","Teluk Kumbar 84, MK9 , Teluk Kumbar, Bayan Lepas, Penang Island 11920 Malaysia",2,3.5,37
Seoul Garden,"Barbecue,Asian,Korean","Sunrise Tower, George Town, Penang Island Malaysia",2,4,12
Mekong Vietnamese Restaurant,Vietnamese,"Mekong Vietnamese Restaurant 403 Jalan Burmah, Penang Island 10350 Malaysia",2,4.5,8
Canton-i,"Chinese,Asian,Cantonese","Queensbay Mall - JMB, Lot 1F-78, Queensbay Mall 100 Persiaran Bayan Indah, Bayan Lepas, Penang Island Malaysia",2,3.5,68
Go Noodle House,"Chinese,Asian,Malaysian","100 Persiaran Bayan Lot 3F-01, Level 3 Queens Street , Queensbay Mall, Penang Island 11900 Malaysia",2,4,8
BBQ Plaza,"Barbecue,Asian","Gurney plaza 170-06-01 Persiaran Gurney,, George Town, Penang Island Malaysia",2,3.5,21
Al Aziz Briyani House,"Indian,Pizza,Middle Eastern","58-B Jalan Batu Ferringh, Batu Ferringhi, Penang Island 11100 Malaysia",1,5,5
Rang8,"Chinese,Japanese,Southwestern","149, Jalan Masjid Kapitan Keling, George Town, Penang Island 10200 Malaysia",1,4.5,7
Pizzaiola,"Italian,Pizza,Vegetarian Friendly","33-SB-01 Prangin Mall, Jalan Dr Lim Chwee Leong Lot 33, George Town, Penang Island 10450 Malaysia",2,3.5,23
Syed Bistro,"Indian,Asian,Middle Eastern","76 Jalan Mahsuri Bandar Sunway Tunas, Bayan Lepas, Penang Island 11950 Malaysia",2,3.5,26
Shan Cheng Durian Penang,Street Food,"748B, MK6 Pondok Upih, 11000 Balik Pulau, Penang, Balik Pulau, Penang Island 11000 Malaysia",2,4.5,9
BoraBora Georgetown Beach Bistro and Guesthouse,"Bar,Pizza,Cafe","515 Jalan C M Hashim Tanjung Bunga, George Town, Penang Island 11200 Malaysia",2,4,15
Sugar on Top,Fusion,"No.21, Jalan Bawasah, George Town, Penang Island 10050 Malaysia",,4,11
Tasty  Toasty,"Malaysian,Asian","52 Jalan Cantonment, George Town, Penang Island 10350 Malaysia",,4.5,8
Gurney ABC Hawker,"Asian,Malaysian","Gurney drive, George Town, Penang Island Malaysia",1,3.5,60
Spicy Lemak,"Asian,Malaysian","278 Lebuh Pantai, George Town, Penang Island 10300 Malaysia",1,4,9
J.L Gourmet Cafe,,"Jalan Dr Lim Chwee Leong 33-3-09, Prangin Mall, George Town, Penang Island Malaysia",2,4.5,12
Insider Cafe Lounge,"Pizza,Cafe,Spanish","36 Lebuh Gereja, George Town, Penang Island 10200 Malaysia",2,4,11
Ali Capati Corner,Indian,"Lebuh Pasar, George Town, Penang Island 10200 Malaysia",1,4,10
Wong Chau Jun Restaurant,"Chinese,Asian,Soups","77 Jalan Rangoon, George Town, Penang Island Malaysia",2,4,24
Yin's WholeFood Manufactory,,"5-G-17, Promenade Persiaran Mahsuri, Bayan Lepas, Penang Island 11950 Malaysia",2,3.5,18
Omar Al-Khayyam Restaurant,"Lebanese,Middle Eastern,Vegetarian Friendly","66 Jalan Batu Feringghi Next to D'Ferrenhi Hotel, Batu Ferringhi, Penang Island Malaysia",2,4,20
WhatSaeb Boat Noodle,"Thai,Street Food","173 Lebuh Carnavon, George Town, Penang Island 10100 Malaysia",1,4.5,6
Balik Kampung at Balik Pulau,"Chinese,Seafood,Asian","278 MK D, Kuala Jalan Baharu, Balik Pulau, Penang Island 11000 Malaysia",2,4,13
Isaribi Tei,"Japanese,Sushi,Asian","Isaribi Tei Isaribi Tei 62 Jalan Chow Thye, Penang Island 10050 Malaysia",2,3.5,30
Sushi Zanmai - Gurney Paragon Mall,"Japanese,Sushi,Asian","163d-6-36, Level 6, Gurney Paragon Mall Persiaran Gurney, George Town, Penang Island 10250 Malaysia",2,3.5,55
Amber Chin Kitchen,"Chinese,Pizza,Wine Bar","147-149 Jalan Hutton Hutton Mansion, Penang Island 10050 Malaysia",1,4.5,7
Caze by Buu's Kitchen,"Italian,Southwestern","10A Lebuh King, George Town, Penang Island 10200 Malaysia",2,4.5,7
Arabica Estate,"Italian,Cafe,Asian","29D-3-3A, 11600 Maritime Suite Persiaran Karpal Singh, George Town, Penang Island 11600 Malaysia",1,4.5,10
Kitch Garden Cafe,"Asian,Malaysian,Caf??","No. 58, Jalan Rangoon, George Town, Penang Island 10400 Malaysia",,5,4
Trois Canon Cafe,"Chinese,Cafe,Asian","165 Campbell Street, George Town, Penang Island 10100 Malaysia",1,3.5,39
43 Cafe,"American,Fast food,Asian","43 Jalan Sungai Dua, Penang Island 11700 Malaysia",1,4.5,10
Feng Yi Dumplings,,,1,,0
Kenko,"Japanese,Cafe,Fast food","94 Jalan Lim Lean Teng, George Town, Penang Island 11600 Malaysia",1,5,4
77 Food Yard,"Malaysian,Asian","Cnr Burmah Road & Solok Moulmein, George Town, Penang Island Malaysia",,4.5,7
